https://www.gov.uk/business-support-helpline,[(10, 0.60777675746198134), (9, 0.14972265605561894), (4, 0.052702942544939201)]
https://www.gov.uk/claim-rural-payments,[(10, 0.71212199324380232), (19, 0.060555139879404397)]
https://www.gov.uk/cattle-tracing-online,[(10, 0.49030332795687959), (24, 0.17887184541483553), (0, 0.15548892909114875)]
https://www.gov.uk/agricultural-sick-pay,[(8, 0.4077703128745031), (10, 0.24360939092831535), (19, 0.065669241259197972)]
https://www.gov.uk/calculate-agricultural-holiday-entitlement,[(8, 0.33535400525872988), (10, 0.18838104131761807), (19, 0.16400208870878805)]
https://www.gov.uk/planning-permissions-for-farms,[(10, 0.75912756635389933), (19, 0.010036351402881701), (21, 0.010036351402567027)]
https://www.gov.uk/register-farm-vehicle,[(10, 0.59379646105362782), (13, 0.10811032762925958), (0, 0.054264275353090655)]
https://www.gov.uk/agricultural-skills-and-training,[(10, 0.62223644155016977), (23, 0.16192824929549726)]
https://www.gov.uk/agricultural-workers-rights,[(10, 0.44431100084200353), (7, 0.14584216564913363), (15, 0.098052499891099848)]
https://www.gov.uk/agricultural-survey,[(10, 0.77560761427831137)]
https://www.gov.uk/register-land-rural-land-register,[(10, 0.69647088995249407), (18, 0.10718870264286662), (17, 0.050866084791667036)]
https://www.gov.uk/report-veterinary-medicine-problem,[(10, 0.42736413508693216), (7, 0.13091619716888234), (23, 0.12980048669329039)]
https://www.gov.uk/health-and-safety-for-farm-vehicles,[(10, 0.73409158653120243), (0, 0.084498091315569596), (19, 0.022345687743845866)]
https://www.gov.uk/farm-and-livery-horses,[(10, 0.52253460508993332), (22, 0.13445414658706648), (17, 0.11092894027729684)]
https://www.gov.uk/soil-protection-review,[(10, 0.72553590994289152), (23, 0.10356693391260099), (7, 0.02496374048594403)]
https://www.gov.uk/register-biomass-supplier,[(10, 0.63412966171380036), (4, 0.11056744362237202), (19, 0.045243156854373801)]
https://www.gov.uk/register-milk-production-holding,[(10, 0.52532591132141004), (21, 0.30811365452033834)]
https://www.gov.uk/food-business-registration,[(10, 0.60321949635728644), (16, 0.17464164082953282), (19, 0.049993751789901578)]
https://www.gov.uk/food-safety-hazard-analysis,[(10, 0.64278879044696002), (3, 0.17181899569877757)]
https://www.gov.uk/food-safety-your-responsibilities,[(10, 0.82215428113813749)]
https://www.gov.uk/food-labelling-and-packaging,[(10, 0.7541770076033818), (17, 0.064045349488371067), (21, 0.031128879198847059)]
https://www.gov.uk/food-safety-as-a-food-distributor,[(10, 0.80947313730210291)]
https://www.gov.uk/sign-up-for-food-safety-alerts,[(10, 0.69912481463059717), (9, 0.079208743454842023)]
https://www.gov.uk/labelling-and-handling-food-for-international-transport,[(10, 0.74345194445169382), (17, 0.087399191602892098), (20, 0.025999808480636585)]
https://www.gov.uk/managing-your-waste-an-overview,[(10, 0.70950343506745162), (15, 0.072650958564178997), (17, 0.027497580395064995)]
https://www.gov.uk/hazardous-waste-disposal,[(10, 0.50564159740903769), (16, 0.27719062007966827), (4, 0.040254105282574094)]
https://www.gov.uk/report-an-environmental-incident,[(10, 0.55650199826426439), (19, 0.1456897403574654), (22, 0.078302206342581671)]
https://www.gov.uk/how-to-classify-different-types-of-waste,[(10, 0.73730589294600624), (15, 0.058968360279088881), (4, 0.049548525512237436)]
https://www.gov.uk/dispose-hazardous-waste,[(10, 0.67689915373497811), (12, 0.09126038013408673), (4, 0.062717445004036421)]
https://www.gov.uk/green-deal-energy-saving-measures,[(10, 0.51201492073351285), (19, 0.28376545429330735), (4, 0.057412154255450334)]
https://www.gov.uk/use-van-fuel-tools,[(10, 0.61896800001916896), (15, 0.2009016640989317), (13, 0.040295416489352559)]
https://www.gov.uk/green-taxes-and-reliefs,[(10, 0.75155589521604571), (23, 0.05453093638585095)]
https://www.gov.uk/contaminated-land,[(10, 0.65458529838868929), (22, 0.10966321626489936), (15, 0.1071852096927234)]
https://www.gov.uk/get-your-air-conditioning-system-inspected,[(10, 0.33398822409358842), (4, 0.23850569609736696), (2, 0.17431041702095554)]
https://www.gov.uk/hazardous-waste-producer-registration-wales,[(10, 0.62892448756403097), (8, 0.092557018333053562), (20, 0.047706964194417924)]
https://www.gov.uk/preventing-air-pollution,[(10, 0.4939234009055829), (16, 0.1721319058052595), (23, 0.11212183531520543)]
https://www.gov.uk/packaging-waste-designer-responsibilities,[(10, 0.50998424615787075), (5, 0.18116677074114451), (16, 0.068485144917562163)]
https://www.gov.uk/apply-blue-badge,[(10, 0.46427528227602305), (12, 0.26191359254129576), (19, 0.044522883154493952)]
https://www.gov.uk/apply-for-elderly-person-bus-pass,[(10, 0.41644732270358603), (19, 0.24156254575293915), (16, 0.14791955493590819)]
https://www.gov.uk/blue-badge-scheme-information-council,[(10, 0.41444163998018957), (12, 0.2507406531711594), (16, 0.090803344323358182)]
https://www.gov.uk/co2-and-vehicle-tax-tools,[(10, 0.78137586162961903), (15, 0.031946443150080037)]
https://www.gov.uk/apply-for-disabled-bus-pass,[(10, 0.46059329014290606), (19, 0.15125656954216973), (16, 0.15104478014485148)]
https://www.gov.uk/pay-parking-fine,[(10, 0.60230122795323826), (16, 0.14937594041098518), (11, 0.033838471196836827)]
https://www.gov.uk/apply-dropped-kerb,[(16, 0.33281320181829782), (10, 0.2841047530185577), (7, 0.10318685354479827)]
https://www.gov.uk/parking-permit,[(10, 0.46331301749303305), (16, 0.28213859636956951), (11, 0.011067321136824843)]
https://www.gov.uk/where-registered-disabled-drivers-can-park,[(10, 0.51990031597897102), (12, 0.19584329571236717), (16, 0.051893864156911891)]
https://www.gov.uk/parking-tickets,[(10, 0.59295292095963437), (11, 0.17711259725308287), (23, 0.05021932240284939)]
